check,4
see,1
belong,2
avoid,2
have,13
pay,1
find,4
incur,1
walk,2
drive,2
be,18
use,2
watch,1
insert,4
look,3
show,1
accept,2
send,1
know,1
offer,3
enter,4
give,2
open,1
forget,1
call,2
go,2
withdraw,5
ask,3
want,3
account,1
select,1
wish,1
confirm,1
remember,2
do,3
request,2
wait,1
process,1
come,1
state,1
range,1
put,1
record,2
take,2
count,1
make,7
receive,1
correct,1
decide,1
like,1
keep,1
toss,1
need,1
stand,1
cover,1
hide,1
install,1
read,1
beware,1
tack,1
isolate,1
try,1
limit,1
guard,1
notify,1
notice,1
report,2
